Which age group do you belong to?,What is your gender?,Which category do you currently belong to?,Which of the following best describes you?,Which of these factors are important to you when deciding which car to purchase?,How likely are you to opt for customised vehicle if there were no extra charges? ,"Which of the following exterior components would you choose to customise (texture, layout, size, etc)? ","Which of the following interior components would you choose to customise (texture, layout, size, etc)? ",How much are you willing to spend on car customisation if surcharges are applicable?,Are you interested in designing your own components to personalise your car? ,How much are you willing to pay for the personalised design? ,"Do you have any 3D design experience that would help with the design process? (e.g. AutoCAD, SolidWorks, Blender, etc)",Please give us any design ideas to make the car uniquely Singaporean.
20-30,Male,"Do not own a car, but planning to purchase in future",Single,Price;Functionality;Size;Customisable options,Very likely,Grilles,Centre compartment,100-500,Only with professional help,500-1000,"No, I would need a designer to model my sketch",
20-30,Female,"Do not own a car, but planning to purchase in future",Single,Price;Brand name;Aesthetics;Technological features;Functionality;Size;Sustainability/environment considerations,Likely,Wheels;Grilles;Headlights;Side mirrors,Centre compartment,under 500,Only with professional help,under 500,"No, I would need a designer to model my sketch",wheels that look like the singapore flyer
20-30,Male,"Do not own a car, but planning to purchase in future",Single,Aesthetics;Functionality;Customisable options,Very likely,Wheels;Grilles;Headlights;Side mirrors,Steering wheel;Dashboard,500-1000,Yes,500-1000,"Yes, I can design on my own",
20-30,Female,"Do not own a car, but planning to purchase in future",Single,Price;Brand name;Aesthetics;Technological features;Functionality;Size;Customisable options;Sustainability/environment considerations,Very likely,Wheels;Grilles;Headlights;Side mirrors;Bumpers,Steering wheel;Centre compartment;Door handles;Dashboard,under 500,Yes,under 500,"No, I would need a designer to model my sketch",
20-30,Male,"Do not own a car, but planning to purchase in future",Single,Price;Brand name;Aesthetics;Technological features;Functionality,Very likely,Wheels;Grilles;Headlights;Bumpers,Steering wheel;Centre compartment,over 1000,Only with professional help,over 1000,"No, I would need a designer to model my sketch",Sg flag/ colour related car paint
20-30,Male,Own more than one car,Single,Price;Brand name;Aesthetics;Technological features;Functionality;Size,Likely,Wheels;Bumpers,Centre compartment;Dashboard,500-1000,Only with professional help,500-1000,"No, I would need a designer to model my sketch",
20-30,Male,"Do not own a car, but planning to purchase in future",Single,Price;Technological features;Functionality,Very likely,Wheels;Grilles,Steering wheel;Dashboard,500-1000,No,500-1000,"No, I would need a designer to model my sketch",
51-60,Female,Own a car,Married with children,Price;Brand name;Functionality,Very likely,Grilles,Centre compartment;Dashboard;Sun blocker for front passengers,under 500,Only with professional help,over 1000,"No, I would need a designer to model my sketch",It rains a lot so an umbrella holder or extendable shelter 
20-30,Male,Own a car,Single,Price;Brand name;Aesthetics;Functionality;Size,Very likely,,Steering wheel;Centre compartment;Door handles;Dashboard,0,Only with professional help,0,"No, I would need a designer to model my sketch",
41-50,Male,Own a car,Single,Price,Very likely,Wheels,Steering wheel,under 500,Yes,under 500,"No, I would need a designer to model my sketch",
20-30,Male,"Do not own a car, but planning to purchase in future",Single,Price;Brand name;Aesthetics;Size,Very likely,Wheels;Headlights;Side mirrors,Steering wheel;Centre compartment;Dashboard,under 500,Only with professional help,0,"No, I would need a designer to model my sketch",
20-30,Female,"Do not own a car, but planning to purchase in future",Single,Price;Brand name;Aesthetics;Technological features;Size,Very likely,Side mirrors,Dashboard,under 500,Only with professional help,under 500,"No, I would need a designer to model my sketch",
20-30,Female,"Do not own a car, but planning to purchase in future",Single,Brand name;Technological features;Functionality;Sustainability/environment considerations,Very likely,Wheels;Headlights;Side mirrors,Steering wheel;Door handles;Dashboard,over 1000,Yes,over 1000,"No, I would need a designer to model my sketch",
20-30,Male,"Do not own a car, but planning to purchase in future",Single,Price;Brand name;Aesthetics;Technological features;Functionality,Very likely,Wheels,Centre compartment,over 1000,No,over 1000,"No, I would need a designer to model my sketch",
